kind,M,N,method,option,estimate,variance,ci_width
delta,150,27000,malliavin_A,call,0.6017359599755614,37.30857708691053,0.14571643174181403
delta,150,27000,malliavin_A,digital,0.007189004960721373,0.10725802425058618,0.0078130226138544
delta,150,27000,malliavin_B,call,0.5804082525314236,1.9492539298772993,0.033307220654178904
delta,150,27000,malliavin_B,digital,0.007433561277818752,0.0009583585662344839,0.0007385300984910793
delta,150,27000,FD_eps_1.0,call,0.5870433059294499,0.27882303527587343,0.012597040053951458
delta,150,27000,FD_eps_1.0,digital,0.006397752035986461,0.02854442357243655,0.004030554737959128
price,150,29000,MC,call,5.648264552963057,63.524500718475004,0.18346688960328095
price,150,29000,MC,digital,0.297090187822195,0.20005416455237676,0.010295818224049902
delta,150,29000,malliavin_A,call,0.5976310520690281,37.0895059889456,0.14018856572347338
delta,150,29000,malliavin_A,digital,0.006916323234136245,0.10746799717839811,0.007546171058870111
delta,150,29000,malliavin_B,call,0.5792620737980482,1.9272757873630169,0.03195648477654611
delta,150,29000,malliavin_B,digital,0.00752786325030461,0.0009639318478054068,0.0007146777027665129
delta,150,29000,FD_eps_1.0,call,0.5873683198724844,0.2786980765926179,0.012152176084614386
delta,150,29000,FD_eps_1.0,digital,0.006073650494450145,0.028647323583873733,0.0038960910256273153
price,150,31000,MC,call,5.63014573775066,63.266874780015,0.17708974439073266
price,150,31000,MC,digital,0.29485891872559344,0.1992091648542607,0.00993710497014244
delta,150,31000,malliavin_A,call,0.5899615090308657,36.856995511416095,0.1351652913820971
delta,150,31000,malliavin_A,digital,0.006502938974499993,0.10661007063293952,0.007269496564576337
delta,150,31000,malliavin_B,call,0.5760641557830504,1.9034690951364173,0.030716953133252956
delta,150,31000,malliavin_B,digital,0.007374201465627494,0.0009529450987464688,0.0006872886317983752
delta,150,31000,FD_eps_1.0,call,0.585274644883428,0.27895138549939497,0.011758975391696014
delta,150,31000,FD_eps_1.0,digital,0.006354853010011197,0.028502076532864202,0.0037587502591677584
price,150,33000,MC,call,5.620580077157538,63.197104169576185,0.1715448507049242
price,150,33000,MC,digital,0.2942214413076613,0.19896565632837984,0.009625386039333383
delta,150,33000,malliavin_A,call,0.5973564976314656,36.9854577361455,0.13123346507756262
delta,150,33000,malliavin_A,digital,0.0069382959409063074,0.10651656614799372,0.00704267546022651
delta,150,33000,malliavin_B,call,0.5759045448696992,1.9080477456456342,0.029807373949720217
delta,150,33000,malliavin_B,digital,0.007315497830378842,0.0009494183732294665,0.000664902419142549
delta,150,33000,FD_eps_1.0,call,0.5843697404019453,0.27897329913006813,0.01139752139954564
delta,150,33000,FD_eps_1.0,digital,0.0067343038540184355,0.028436753432526378,0.00363889147266937
price,150,35000,MC,call,5.629883921366209,63.27126296192742,0.16666917918680824
price,150,35000,MC,digital,0.29390636158897676,0.1988448477844102,0.009343491958110017
delta,150,35000,malliavin_A,call,0.6040253556227286,37.00067624608325,0.12745499950602324
delta,150,35000,malliavin_A,digital,0.006813094200898377,0.10715149761954977,0.006858847827068854
delta,150,35000,malliavin_B,call,0.5771592499961101,1.9059942985624034,0.02892762929866244
delta,150,35000,malliavin_B,digital,0.007323394036153773,0.0009499469579059277,0.0006458054756650934
delta,150,35000,FD_eps_1.0,call,0.5846665856934374,0.2790871402283874,0.011069345872537939
delta,150,35000,FD_eps_1.0,digital,0.006696074181484706,0.02832326495616035,0.003526336093788089
price,150,37000,MC,call,5.6280499823730965,63.33813772399483,0.16218767570084758
price,150,37000,MC,digital,0.29307455113164943,0.1985255621771598,0.009080158348778622
delta,150,37000,malliavin_A,call,0.595472807510297,36.980428742031634,0.12392849510052106
delta,150,37000,malliavin_A,digital,0.006626229916201233,0.10682355274112758,0.006660682216582952
delta,150,37000,malliavin_B,call,0.578250092992761,1.9118961433585064,0.02817846642735211
delta,150,37000,malliavin_B,digital,0.007283990084307048,0.0009484582162896793,0.0006276164333626523
delta,150,37000,FD_eps_1.0,call,0.5840248705853928,0.27920925652609063,0.010768373512008322
delta,150,37000,FD_eps_1.0,digital,0.0067144339618491365,0.028335883696305304,0.0034304696835104004
price,150,39000,MC,call,5.635032023489517,63.38193738283287,0.15802890052135687
price,150,39000,MC,digital,0.29265153641189756,0.19836254085178662,0.00884063773622712
delta,150,39000,malliavin_A,call,0.5869670767671041,36.77660842079531,0.12037591500701939
delta,150,39000,malliavin_A,digital,0.00665591911617982,0.10660541816070107,0.006481020609766677
delta,150,39000,malliavin_B,call,0.5800393751574017,1.9234603656406193,0.027529313683072987
delta,150,39000,malliavin_B,digital,0.0072342203394003424,0.0009480348620121642,0.0006111754732212957
delta,150,39000,FD_eps_1.0,call,0.5842669923934652,0.2792228960317209,0.010488883871083265
delta,150,39000,FD_eps_1.0,digital,0.006693585859603812,0.028341671572439,0.003341692577624694
price,150,41000,MC,call,5.636638817346619,63.4281507820959,0.1541825285235081
price,150,41000,MC,digital,0.29305088172839217,0.19851594184622234,0.008625650019741582
delta,150,41000,malliavin_A,call,0.5911003025671381,36.80440920622048,0.11744757768078729
delta,150,41000,malliavin_A,digital,0.00711593947303937,0.10679822705216042,0.006326684247315278
delta,150,41000,malliavin_B,call,0.5804438923773673,1.9325005646255176,0.026912494458106284
delta,150,41000,malliavin_B,digital,0.00728096105731571,0.0009491199550754329,0.0005964234229600598
delta,150,41000,FD_eps_1.0,call,0.584341737697624,0.27924756071172674,0.010230310913569962
delta,150,41000,FD_eps_1.0,digital,0.006722110525067714,0.02824289288867148,0.0032534843958832256
price,150,43000,MC,call,5.636054540411277,63.46087205802881,0.15059302497764726
price,150,43000,MC,digital,0.2931196881332098,0.1985421578321795,0.008423221244995838
delta,150,43000,malliavin_A,call,0.5967300239758685,36.72965246846347,0.11456718671545074
delta,150,43000,malliavin_A,digital,0.00701346770167142,0.10693280738783534,0.006181691443558057
delta,150,43000,malliavin_B,call,0.5808371648663624,1.9463590013968555,0.026373229449693003
delta,150,43000,malliavin_B,digital,0.007240333901084204,0.000944194464732699,0.0005808748378747456
delta,150,43000,FD_eps_1.0,call,0.5842834149436709,0.27922005098072933,0.0099890719258251
delta,150,43000,FD_eps_1.0,digital,0.006928529739520743,0.0283589014979804,0.003183439064686382
price,150,45000,MC,call,5.641298310188915,63.62077548676366,0.14739382502065013
price,150,45000,MC,digital,0.2936352529954775,0.19873977439956034,0.008238007943312198
delta,150,45000,malliavin_A,call,0.5832802132358275,36.49377891689104,0.11163213439671837
delta,150,45000,malliavin_A,digital,0.006584274612343018,0.10655387151024845,0.006032042976517771
delta,150,45000,malliavin_B,call,0.5821832731949309,1.9558724257620446,0.02584342514418103
delta,150,45000,malliavin_B,digital,0.007266832161106355,0.0009461795566555309,0.000568416387663355
delta,150,45000,FD_eps_1.0,call,0.5846006210486712,0.27920648806011444,0.009764332574479617
delta,150,45000,FD_eps_1.0,digital,0.007041121482301954,0.0283975746049158,0.0031140130964149703
price,150,47000,MC,call,5.637838231833305,63.37715191325348,0.14394729141435114
price,150,47000,MC,digital,0.2936526888963166,0.19874626730188832,0.008060957445201855
delta,150,47000,malliavin_A,call,0.5917254628510668,36.45749851574783,0.10917685293531454
delta,150,47000,malliavin_A,digital,0.0066288276944390205,0.10654794047098556,0.005902142186750885
delta,150,47000,malliavin_B,call,0.5814520347233637,1.9436506759829515,0.025208455921480022
delta,150,47000,malliavin_B,digital,0.007250381520638943,0.0009452271743823268,0.0005559109612700425
delta,150,47000,FD_eps_1.0,call,0.5846851867943202,0.27915732537828086,0.009553481179812806
